"","Gene.Symbol","Ensembl.id","Ensembl.id.version","Entrez.GeneId","Name","Tier","Genome.Location","Hallmark","Chr.Band","Somatic","Germline","Tumour.Types.Somatic.","Tumour.Types.Germline.","Cancer.Syndrome","Tissue.Type","Molecular.Genetics","Role.in.Cancer","Mutation.Types","Translocation.Partner","Other.Germline.Mut","Other.Syndrome","COSMIC.ID","cosmic.gene.name","Synonyms"
"41","ATIC","ENSG00000138363.14","ENSG00000138363",471,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",1,"2:215311817-215349763","Yes",35,"yes","","ALCL","","","L","Dom","fusion","T","ALK","","","COSG361239","ATIC","471,AICARFT,ATIC,ENSG00000138363.14,IMPCHASE,P31939,PURH"
"42","ATM","ENSG00000149311.18","ENSG00000149311",472,"ataxia telangiectasia mutated",1,"11:108222832-108369099","Yes",22.3,"yes","yes","T-PLL","leukaemia, lymphoma, medulloblastoma, glioma","ataxia-telangiectasia","L, O","Rec","TSG","D, Mis, N, F, S","","","","COSG358825","ATM","472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311.18,Q13315,TEL1,TELO1"
"43","ATP1A1","ENSG00000163399.15","ENSG00000163399",476,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",1,"1:116373867-116404772","Yes",13.1,"yes","","adrenal aldosterone producing adenoma","","","E","Dom","oncogene, TSG","Mis, O","","","","COSG276656","ATP1A1","476,ATP1A1,ENSG00000163399.15,P05023"
"44","ATP2B3","ENSG00000067842.17","ENSG00000067842",492,"ATPase, Ca++ transporting, plasma membrane 3",1,"X:153536122-153582929","Yes",28,"yes","","adrenal aldosterone producing adenoma","","","E","Dom","TSG","O","","","","COSG263340","ATP2B3","492,ATP2B3,CFAP39,CLA2,ENSG00000067842.17,PMCA3,Q16720,SCAX1"
"45","ATR","ENSG00000175054.14","ENSG00000175054",545,"ATR serine/threonine kinase",1,"3:142449237-142578826","Yes",23,"yes","yes","endometrial, gastric, epithelial ovarian, myeloma","oropharyngeal","familial cutaneous telangiectasia and cancer syndrome","E, L","Dom","TSG","F, Mis","","yes  ","Seckel syndrome 1","COSG390765","ATR","545,ATR,ENSG00000175054.14,FRP1,MEC1,Q13535,SCKL,SCKL1"
"46","ATRX","ENSG00000085224.21","ENSG00000085224",546,"alpha thalassemia/mental retardation syndrome X-linked",1,"X:77504878-77786269","Yes",21.1,"yes","","pancreatic neuroendocrine tumours, paediatric GBM","","","E","Rec","TSG","Mis, F, N","","yes  ","ATR-X (alpha thalassemia/mental retardation) syndrome","COSG230763","ATRX","546,ATRX,ENSG00000085224.21,JMS,MRX52,P46100,RAD54,XH2,XNP"
"47","AXIN1","ENSG00000103126.14","ENSG00000103126",8312,"axin 1",1,"16:287440-352659","Yes",13.3,"yes","","colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma","","","E, O","Rec","TSG","D, Mis, N, F, S","","","","COSG294712","AXIN1","8312,AXIN1,ENSG00000103126.14,O15169,PPP1R49"
"48","AXIN2","ENSG00000168646.12","ENSG00000168646",8313,"axin 2",1,"17:65528563-65561647","Yes",24.1,"yes","yes","colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma","colorectal carcinoma","oligodontia-colorectal cancer syndrome","E","Rec","TSG","Mis, F, N","","","","COSG310579","AXIN2","8313,AXIN2,DKFZp781B0869,ENSG00000168646.12,MGC126582,Q9Y2T1"
"49","B2M","ENSG00000166710.17","ENSG00000166710",567,"beta-2-microglobulin",1,"15:44711477-44718877","Yes",21.1,"yes","","DLBCL, melanoma, colorectal adenocarcinoma","","","E, L","Rec","TSG","Mis, N, F","","yes  ","Immunodeficiency 43","COSG290843","B2M","567,B2M,ENSG00000166710.17,P61769"
"50","BAP1","ENSG00000163930.9","ENSG00000163930",8314,"BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)",1,"3:52401013-52410350","Yes",21.1,"yes","yes","uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer","BAP1 tumor predisposition syndrome","E","Rec","TSG","N, Mis, F, S, O","","","","COSG202230","BAP1","8314,BAP1,ENSG00000163930.9,KIAA0272,Q92560,UCHL2,hucep-6"
"51","BARD1","ENSG00000138376.10","ENSG00000138376",580,"BRCA1 associated RING domain 1",1,"2:214725646-214809704","Yes",35,"yes","yes","breast cancer","ovarian cancer, breast cancer, endometrioid cancer","","E","","TSG","Mis","","","","COSG246082","BARD1","580,BARD1,ENSG00000138376.10,Q99728"
"52","BAX","ENSG00000087088.19","ENSG00000087088",581,"BCL2 associated X, apoptosis regulator ",1,"19:48954929-48961798","",13.33,"yes","","colorectal cancer","","","E","","TSG","F, Mis","","","","COSG269986","BAX","581,BAX,BCL2L4,ENSG00000087088.19,Q07812"
"53","BAZ1A","ENSG00000198604.10","ENSG00000198604",11177,"bromodomain adjacent to zinc finger domain 1A",2,"14:34752737-34875647","",13.2,"yes","","uterine carcinosarcoma, colon cancer","","","E","","TSG","D","","","","COSG257200","BAZ1A","11177,ACF1,BAZ1A,ENSG00000198604.10,Q9NRL2,WALp1,WCRF180,hACF1"
"54","BCL10","ENSG00000142867.12","ENSG00000142867",8915,"B-cell CLL/lymphoma 10",1,"1:85266248-85277090","Yes",22.3,"yes","","MALT","","","L","Dom","TSG, fusion","T","IGH","","","COSG281493","BCL10","8915,BCL10,CARMEN,CIPER,CLAP,ENSG00000142867.12,O95999,c-E10,mE10"
"55","BCL11A","ENSG00000119866.21","ENSG00000119866",53335,"B-cell CLL/lymphoma 11A",1,"2:60457192-60555154","Yes",16.1,"yes","","B-CLL","","","L","Dom","oncogene, fusion","T","IGH","","","COSG278676","BCL11A","53335,BCL11A,BCL11A-L,BCL11A-S,BCL11A-XL,CTIP1,ENSG00000119866.21,EVI9,HBFQTL5,ZNF856"
"56","BCL11B","ENSG00000127152.17","ENSG00000127152",64919,"B-cell CLL/lymphoma 11B  (CTIP2)",1,"14:99169287-99271228","Yes",32.2,"yes","","T-ALL","","","L","Dom","oncogene, TSG, fusion","T","TLX3","","","COSG399788","BCL11B","64919,BCL11B,CTIP-2,CTIP2,ENSG00000127152.17,Q9C0K0,ZNF856B,hRIT1-alpha"
"57","BCL2","ENSG00000171791.12","ENSG00000171791",596,"B-cell CLL/lymphoma 2",1,"18:63123346-63320128","",21.33,"yes","","NHL, CLL","","","L","Dom","oncogene, fusion","T","IGH","","","COSG289524","BCL2","596,BCL2,Bcl-2,ENSG00000171791.12,P10415,PPP1R50"
"58","BCL2L12","ENSG00000126453.9","ENSG00000126453",83596,"BCL2 like 12",2,"19:49665142-49673915","",13.33,"yes","","melanoma, SCC","","","E","","oncogene","Mis","","","","COSG299745","BCL2L12","83596,BCL2L12,ENSG00000126453.9,Q9HB09"
"59","BCL3","ENSG00000069399.14","ENSG00000069399",602,"B-cell CLL/lymphoma 3",1,"19:44748547-44760044","",13.32,"yes","","CLL","","","L","Dom","oncogene, fusion","T","IGH","","","COSG320008","BCL3","602,BCL3,BCL4,D19S37,ENSG00000069399.14,P20749"
"60","BCL6","ENSG00000113916.17","ENSG00000113916",604,"B-cell CLL/lymphoma 6",1,"3:187721377-187745727","",27.3,"yes","","NHL, CLL","","","L","Dom","oncogene, fusion","T, Mis","IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3","","","COSG266712","BCL6","604,BCL5,BCL6,BCL6A,ENSG00000113916.17,LAZ3,P41182,ZBTB27,ZNF51"
"61","BCL7A","ENSG00000110987.8","ENSG00000110987",605,"B-cell CLL/lymphoma 7A",1,"12:122019422-122062044","",24.31,"yes","","BNHL","","","L","Dom","fusion","T","MYC","","","COSG271172","BCL7A","605,BCL7,BCL7A,ENSG00000110987.8,Q4VC05"
"62","BCL9","ENSG00000116128.10","ENSG00000116128",607,"B-cell CLL/lymphoma 9",1,"1:147541412-147626216","Yes",21.2,"yes","","B-ALL","","","L","Dom","oncogene, fusion","T","IGH, IGL","","","COSG292113","BCL9","607,BCL9,ENSG00000116128.10,O00512"
"63","BCL9L","ENSG00000186174.12","ENSG00000186174",283149,"B-cell CLL/lymphoma 9-like",1,"11:118893875-118910904","Yes",23.3,"yes","","colorectal cancer, endometrial carcinoma, gastric cancer","","","E","","oncogene, TSG","Mis, F","","","","COSG200702","BCL9L","283149,BCL9L,DLNB11,ENSG00000186174.12,Q86UU0"
"64","BCLAF1","ENSG00000029363.16","ENSG00000029363",9774,"BCL2 associated transcription factor 1",2,"6:136256863-136289851","",23.3,"yes","","melanoma, SCC","","","E","","","Mis","","","","COSG313798","BCLAF1","9774,BCLAF1,BTF,ENSG00000029363.16,KIAA0164,Q9NYF8"
"65","BCOR","ENSG00000183337.16","ENSG00000183337",54880,"BCL6 corepressor",1,"X:40051248-40097403","Yes",11.4,"yes","","retinoblastoma, AML, APL (translocation)","","","L, M","Rec","TSG, fusion","F, N, S, T","RARA","yes  ","Oculo-facio-cardio-dental genetic","COSG350949","BCOR","54880,BCOR,ENSG00000183337.16,FLJ20285,KIAA1575,Q6W2J9"
"66","BCORL1","ENSG00000085185.15","ENSG00000085185",63035,"BCL6 corepressor-like 1",1,"X:130005188-130058083","Yes",26.1,"yes","","AML, HNSCC","","","E, L","","oncogene, TSG","Mis, N, F","","","","COSG214729","BCORL1","63035,BCORL1,CXorf10,ENSG00000085185.15,FLJ11362,Q5H9F3"
"67","BCR","ENSG00000186716.20","ENSG00000186716",613,"breakpoint cluster region",1,"22:23180210-23318037","",11.23,"yes","","CML, ALL, AML","","","L","Dom","fusion","T","ABL1,  FGFR1, JAK2","","","COSG321119","BCR","613,ALL,BCR,BCR1,CML,D22S11,D22S662,ENSG00000186716.20,P11274,PHL"
"68","BIRC3","ENSG00000023445.13","ENSG00000023445",330,"baculoviral IAP repeat-containing 3",1,"11:102317495-102337734","Yes",22.2,"yes","","CLL, MALT, MCL, MM","","","L","Dom","oncogene, TSG, fusion","D, F, N, T, Mis","MALT1","","","COSG362844","BIRC3","330,API2,BIRC3,ENSG00000023445.13,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1"
"69","BIRC6","ENSG00000115760.13","ENSG00000115760",57448,"baculoviral IAP repeat containing 6",2,"2:32357028-32618899","",22.3,"yes","","melanoma, gastric adenocarcinoma, lung adenocarcinoma","","","E","","oncogene, fusion","T, Mis","ALK","","","COSG364717","BIRC6","57448,BIRC6,BRUCE,ENSG00000115760.13,Q9NR09"
"70","BLM","ENSG00000197299.10","ENSG00000197299",641,"Bloom Syndrome",1,"15:90717327-90816165","Yes",26.1,"","yes","","leukaemia, lymphoma, skin squamous cell, other tumour types","Bloom syndrome","L, E","Rec","TSG","Mis, N, F","","","","COSG399159","BLM","641,BLM,BS,ENSG00000197299.10,P54132,RECQ2,RECQL3"
"71","BMP5","ENSG00000112175.7","ENSG00000112175",653,"bone morphogenetic protein 5",2,"6:55753645-55875564","",12.1,"yes","","melanoma","","","E","","","Mis","","","","COSG343454","BMP5","653,BMP5,ENSG00000112175.7,P22003"
"72","BMPR1A","ENSG00000107779.13","ENSG00000107779",657,"bone morphogenetic protein receptor, type IA",1,"10:86756650-86932838","Yes",23.2,"","yes","","gastrointestinal polyps","juvenile polyposis","E","Rec","oncogene, TSG","Mis, N, F","","","","COSG313188","BMPR1A","657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779.13,P36894"
"73","BRAF","ENSG00000157764.13","ENSG00000157764",673,"v-raf murine sarcoma viral oncogene homolog B1",1,"7:140730665-140924928","Yes",34,"yes","","melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric","","","E, O","Dom","oncogene, fusion","Mis, T, O","AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP","yes  ","Cardio-facio-cutaneous syndrome","COSG199318","BRAF","673,BRAF,BRAF1,ENSG00000157764.13"
"74","BRCA1","ENSG00000012048.21","ENSG00000012048",672,"familial breast/ovarian cancer gene 1",1,"17:43044295-43125483","Yes",21.31,"yes","yes","ovarian","breast, ovarian","hereditary breast/ovarian cancer","E","Rec","TSG","D, Mis, N, F, S","","","","COSG228238","BRCA1","672,BRCA1,BRCC1,ENSG00000012048.21,FANCS,P38398,PPP1R53,RNF53"
"75","BRCA2","ENSG00000139618.14","ENSG00000139618",675,"familial breast/ovarian cancer gene 2",1,"13:32315474-32400266","Yes",13.1,"yes","yes","breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)","hereditary breast/ovarian cancer","L, E","Rec","TSG","D, Mis, N, F, S","","","","COSG381488","BRCA2","675,BRCA2,BRCC2,ENSG00000139618.14,FACD,FAD,FAD1,FANCD,FANCD1,P51587,XRCC11"
"76","BRD3","ENSG00000169925.16","ENSG00000169925",8019,"bromodomain containing 3",1,"9:134030305-134068017","",34.2,"yes","","lethal midline carcinoma of young people","","","E","Dom","oncogene, fusion","T","NUTM1","","","COSG318720","BRD3","8019,BRD3,ENSG00000169925.16,KIAA0043,ORFX,Q15059,RING3L"
